iter	Passed	Remaining
0	662	662289
1	797	397750
2	890	295995
3	1013	252325
4	1142	227278
5	1262	209161
6	1363	193363
7	1481	183727
8	1571	173023
9	1680	166328
10	1785	160501
11	1908	157165
12	2000	151871
13	2125	149662
14	2252	147883
15	2355	144888
16	2456	142058
17	2552	139252
18	2748	141921
19	2847	139503
20	2953	137673
21	3042	135268
22	3144	133584
23	3255	132401
24	3352	130756
25	3459	129581
26	3542	127658
27	3650	126738
28	3742	125313
29	3827	123762
30	3934	122982
31	4017	121530
32	4118	120677
33	4206	119513
34	4289	118259
35	4399	117807
36	4495	117013
37	4632	117286
38	4765	117435
39	4922	118138
40	5061	118379
41	5229	119275
42	5418	120599
43	5621	122137
44	5767	122396
45	5904	122455
46	6049	122664
47	6188	122746
48	6323	122719
49	6502	123546
50	6606	122938
51	6691	121986
52	6780	121161
53	6864	120247
54	6949	119397
55	7060	119016
56	7150	118294
57	7236	117537
58	7329	116897
59	7413	116145
60	7502	115486
61	7602	115025
62	7711	114699
63	7804	114143
64	7893	113540
65	7991	113089
66	8070	112389
67	8177	112080
68	8261	111476
69	8361	111086
70	8458	110676
71	8556	110288
72	8661	109989
73	8772	109776
74	8856	109228
75	8943	108735
76	9044	108418
77	9152	108187
78	9243	107758
79	9334	107348
80	9417	106850
81	9504	106408
82	9582	105873
83	9690	105677
84	9776	105238
85	9878	104983
86	9967	104604
87	10050	104155
88	10158	103984
89	10246	103605
90	10337	103256
91	10433	102974
92	10525	102648
93	10619	102357
94	10701	101947
95	10787	101579
96	10880	101285
97	10960	100877
98	11074	100792
99	11172	100549
100	11313	100697
101	11456	100862
102	11563	100700
103	11653	100402
104	11745	100114
105	11848	99927
106	11941	99665
107	12043	99466
108	12156	99374
109	12244	99067
110	12332	98767
111	12428	98541
112	12515	98238
113	12602	97947
114	12698	97726
115	12787	97445
116	12879	97203
117	12973	96970
118	13058	96678
119	13163	96530
120	13252	96269
121	13346	96050
122	13437	95810
123	13531	95596
124	13628	95399
125	13726	95211
126	13816	94976
127	13904	94726
128	14011	94603
129	14109	94425
130	14223	94350
131	14311	94108
132	14395	93843
133	14489	93640
134	14587	93471
135	14689	93323
136	14789	93163
137	14885	92982
138	14997	92900
139	15080	92636
140	15173	92441
141	15270	92266
142	15386	92210
143	15473	91982
144	15556	91730
145	15653	91561
146	15749	91388
147	15840	91188
148	15921	90936
149	16027	90820
150	16123	90653
151	16235	90578
152	16323	90363
153	16412	90160
154	16505	89983
155	16589	89754
156	16694	89640
157	16782	89433
158	16869	89229
159	16959	89036
160	17045	88827
161	17166	88799
162	17289	88778
163	17380	88599
164	17487	88496
165	17596	88406
166	17684	88210
167	17807	88188
168	17920	88117
169	18021	87985
170	18126	87875
171	18241	87815
172	18339	87667
173	18437	87526
174	18552	87461
175	18656	87348
176	18761	87234
177	18868	87132
178	18967	86997
179	19073	86891
180	19199	86874
181	19315	86811
182	19413	86672
183	19511	86530
184	19606	86376
185	19712	86270
186	19819	86165
187	19913	86011
188	20016	85891
189	20114	85751
190	20218	85638
191	20326	85539
192	20424	85400
193	20515	85235
194	20622	85133
195	20715	84974
196	20822	84875
197	20939	84815
198	21039	84686
199	21146	84585
200	21257	84501
201	21354	84359
202	21460	84255
203	21570	84166
204	21672	84046
205	21779	83944
206	21899	83893
207	22008	83802
208	22117	83707
209	22213	83564
210	22329	83496
211	22429	83370
212	22528	83240
213	22644	83170
214	22762	83109
215	22867	83001
216	22974	82898
217	23087	82818
218	23186	82687
219	23296	82597
220	23410	82520
221	23499	82353
222	23609	82260
223	23719	82169
224	23817	82038
225	23937	81980
226	24029	81828
227	24144	81751
228	24256	81666
229	24381	81625
230	24477	81484
231	24577	81359
232	24687	81267
233	24841	81317
234	24933	81165
235	25032	81038
236	25130	80906
237	25229	80775
238	25323	80634
239	25408	80459
240	25487	80270
241	25588	80149
242	25691	80035
243	25779	79874
244	25877	79745
245	25967	79591
246	26073	79486
247	26159	79322
248	26259	79198
249	26350	79050
250	26445	78914
251	26532	78755
252	26617	78589
253	26710	78450
254	26790	78269
255	26878	78116
256	26987	78023
257	27095	77925
258	27188	77786
259	27273	77623
260	27370	77498
261	27449	77319
262	27533	77155
263	27636	77045
264	27725	76898
265	27826	76783
266	27916	76638
267	28011	76509
268	28112	76394
269	28213	76280
270	28290	76101
271	28382	75964
272	28480	75842
273	28572	75707
274	28667	75578
275	28793	75531
276	28916	75474
277	29021	75371
278	29135	75291
279	29224	75147
280	29319	75019
281	29412	74886
282	29511	74768
283	29603	74632
284	29720	74561
285	29861	74548
286	29951	74408
287	30051	74294
288	30144	74162
289	30240	74036
290	30334	73907
291	30418	73755
292	30504	73607
293	30620	73530
294	30700	73367
295	30788	73226
296	30889	73115
297	30971	72959
298	31082	72872
299	31176	72745
300	31277	72634
301	31367	72499
302	31469	72390
303	31558	72251
304	31658	72140
305	31743	71993
306	31854	71905
307	31950	71785
308	32052	71677
309	32136	71529
310	32241	71429
311	32322	71275
312	32408	71132
313	32518	71043
314	32603	70899
315	32700	70781
316	32787	70642
317	32868	70491
318	32976	70398
319	33064	70261
320	33176	70177
321	33270	70053
322	33368	69939
323	33459	69811
324	33561	69704
325	33650	69572
326	33755	69471
327	33846	69344
328	33941	69224
329	34057	69147
330	34137	68996
331	34236	68885
332	34333	68769
333	34415	68624
334	34502	68489
335	34604	68384
336	34721	68310
337	34822	68201
338	34911	68072
339	34992	67927
340	35106	67845
341	35204	67732
342	35304	67623
343	35393	67495
344	35484	67368
345	35568	67231
346	35657	67102
347	35758	66996
348	35849	66871
349	35954	66771
350	36068	66690
351	36199	66639
352	36350	66624
353	36491	66591
354	36597	66493
355	36691	66373
356	36782	66249
357	36876	66131
358	36956	65986
359	37057	65879
360	37152	65762
361	37261	65670
362	37358	65558
363	37458	65448
364	37541	65312
365	37628	65182
366	37732	65080
367	37826	64963
368	37919	64842
369	38009	64719
370	38104	64603
371	38189	64470
372	38281	64349
373	38381	64242
374	38472	64121
375	38574	64017
376	38681	63921
377	38770	63797
378	38885	63715
379	38979	63597
380	39075	63484
381	39157	63348
382	39244	63221
383	39339	63106
384	39422	62974
385	39509	62846
386	39612	62745
387	39700	62620
388	39795	62507
389	39878	62373
390	39965	62247
391	40073	62154
392	40162	62032
393	40259	61921
394	40342	61789
395	40454	61703
396	40537	61572
397	40625	61448
398	40725	61344
399	40825	61237
400	40923	61130
401	41040	61049
402	41124	60921
403	41211	60796
404	41299	60674
405	41378	60539
406	41471	60424
407	41568	60315
408	41664	60204
409	41802	60154
410	41911	60063
411	42023	59975
412	42160	59922
413	42298	59871
414	42405	59776
415	42505	59671
416	42619	59585
417	42719	59479
418	42815	59369
419	42907	59253
420	43007	59148
421	43098	59030
422	43201	58930
423	43285	58803
424	43389	58703
425	43480	58586
426	43594	58500
427	43681	58378
428	43768	58256
429	43866	58148
430	43960	58036
431	44062	57934
432	44171	57841
433	44260	57721
434	44364	57622
435	44445	57493
436	44555	57401
437	44636	57273
438	44723	57151
439	44824	57048
440	44908	56925
441	45010	56823
442	45117	56727
443	45203	56606
444	45299	56496
445	45389	56381
446	45471	56254
447	45561	56138
448	45695	56075
449	45801	55980
450	45934	55915
451	46063	55847
452	46176	55758
453	46269	55646
454	46374	55547
455	46460	55426
456	46547	55306
457	46644	55199
458	46739	55089
459	46837	54983
460	46930	54871
461	47034	54771
462	47138	54672
463	47231	54560
464	47322	54445
465	47423	54343
466	47509	54223
467	47608	54119
468	47701	54007
469	47787	53888
470	47876	53771
471	47979	53671
472	48069	53557
473	48153	53436
474	48259	53339
475	48345	53220
476	48463	53136
477	48554	53023
478	48662	52929
479	48756	52820
480	48861	52721
481	48972	52630
482	49059	52513
483	49166	52417
484	49252	52299
485	49343	52186
486	49441	52081
487	49547	51984
488	49634	51868
489	49726	51756
490	49830	51657
491	49916	51539
492	50020	51441
493	50113	51331
494	50218	51233
495	50331	51143
496	50414	51023
497	50515	50921
498	50613	50816
499	50747	50747
500	50865	50662
501	50958	50552
502	51056	50447
503	51138	50326
504	51229	50215
505	51331	50114
506	51416	49996
507	51521	49898
508	51609	49784
509	51716	49688
510	51828	49597
511	51918	49485
512	52032	49395
