iter	Passed	Remaining
0	321	321634
1	453	226101
2	591	196613
3	689	171653
4	764	152144
5	828	137286
6	897	127329
7	960	119128
8	1021	112506
9	1083	107297
10	1142	102685
11	1203	99095
12	1261	95779
13	1323	93230
14	1415	92943
15	1489	91599
16	1546	89407
17	1600	87329
18	1712	88417
19	1793	87863
20	1870	87220
21	1957	87008
22	2040	86669
23	2114	85970
24	2170	84647
25	2226	83419
26	2282	82249
27	2344	81400
28	2401	80406
29	2460	79556
30	2515	78642
31	2571	77780
32	2636	77245
33	2695	76581
34	2753	75909
35	2809	75232
36	2862	74508
37	2925	74060
38	2981	73473
39	3050	73207
40	3181	74425
41	3310	75500
42	3438	76525
43	3568	77534
44	3648	77423
45	3722	77210
46	3790	76860
47	3855	76473
48	3916	76004
49	3983	75679
50	4051	75395
51	4119	75095
52	4174	74595
53	4234	74179
54	4294	73782
55	4356	73440
56	4419	73108
57	4476	72709
58	4532	72289
59	4589	71900
60	4643	71478
61	4699	71095
62	4762	70827
63	4819	70480
64	4874	70111
65	4929	69755
66	4983	69394
67	5043	69123
68	5101	68831
69	5157	68524
70	5212	68203
71	5269	67915
72	5328	67668
73	5383	67362
74	5443	67136
75	5502	66902
76	5567	66734
77	5623	66468
78	5683	66264
79	5741	66026
80	5798	65793
81	5874	65762
82	5941	65637
83	6002	65459
84	6066	65301
85	6129	65142
86	6184	64905
87	6246	64736
88	6314	64638
89	6384	64552
90	6448	64417
91	6512	64274
92	6574	64122
93	6639	63988
94	6701	63836
95	6775	63800
96	6832	63605
97	6891	63429
98	6949	63248
99	7011	63101
100	7073	62958
101	7134	62807
102	7200	62706
103	7265	62598
104	7326	62449
105	7381	62252
106	7437	62069
107	7493	61889
108	7552	61732
109	7620	61659
110	7680	61513
111	7743	61395
112	7809	61301
113	7869	61159
114	7935	61069
115	7998	60952
116	8063	60851
117	8123	60721
118	8176	60530
119	8235	60394
120	8288	60212
121	8339	60013
122	8406	59937
123	8469	59834
124	8559	59918
125	8631	59874
126	8691	59743
127	8741	59548
128	8794	59383
129	8858	59284
130	8920	59174
131	8978	59042
132	9032	58882
133	9087	58731
134	9153	58647
135	9216	58551
136	9276	58435
137	9339	58338
138	9406	58265
139	9467	58158
140	9528	58049
141	9593	57963
142	9665	57926
143	9729	57837
144	9790	57731
145	9850	57617
146	9916	57545
147	9972	57408
148	10030	57285
149	10093	57199
150	10154	57091
151	10215	56989
152	10270	56858
153	10327	56732
154	10383	56604
155	10440	56485
156	10501	56384
157	10560	56278
158	10619	56170
159	10680	56071
160	10740	55968
161	10801	55874
162	10867	55803
163	10921	55674
164	10986	55596
165	11052	55531
166	11115	55442
167	11177	55352
168	11239	55265
169	11296	55153
170	11355	55051
171	11415	54953
172	11470	54831
173	11526	54718
174	11593	54653
175	11660	54594
176	11718	54486
177	11784	54422
178	11847	54338
179	11904	54232
180	11967	54149
181	12027	54059
182	12088	53968
183	12143	53854
184	12201	53754
185	12276	53724
186	12334	53624
187	12401	53565
188	12461	53471
189	12520	53377
190	12576	53268
191	12644	53212
192	12699	53099
193	12753	52987
194	12814	52902
195	12869	52792
196	12936	52730
197	13003	52672
198	13069	52605
199	13128	52515
200	13185	52413
201	13241	52310
202	13302	52226
203	13358	52125
204	13422	52054
205	13482	51967
206	13549	51907
207	13634	51916
208	13752	52047
209	13832	52035
210	13901	51983
211	13970	51928
212	14040	51878
213	14105	51807
214	14182	51781
215	14263	51769
216	14325	51689
217	14383	51596
218	14445	51515
219	14513	51456
220	14609	51495
221	14678	51442
222	14755	51413
223	14829	51374
224	14901	51328
225	14978	51299
226	15046	51236
227	15127	51220
228	15199	51175
229	15280	51156
230	15358	51128
231	15438	51106
232	15511	51062
233	15597	51058
234	15674	51024
235	15748	50982
236	15821	50935
237	15892	50884
238	15975	50868
239	16047	50818
240	16112	50742
241	16192	50719
242	16261	50657
243	16331	50602
244	16401	50542
245	16467	50474
246	16541	50426
247	16611	50370
248	16694	50351
249	16769	50308
250	16832	50227
251	16899	50161
252	16965	50091
253	17034	50031
254	17099	49956
255	17171	49905
256	17247	49862
257	17314	49795
258	17388	49748
259	17452	49672
260	17534	49646
261	17615	49618
262	17689	49571
263	17766	49530
264	17828	49448
265	17901	49397
266	17969	49331
267	18038	49269
268	18112	49219
269	18178	49148
270	18231	49043
271	18293	48961
272	18347	48860
273	18413	48790
274	18469	48691
275	18527	48600
276	18583	48505
277	18642	48417
278	18713	48360
279	18773	48274
280	18837	48200
281	18897	48114
282	18964	48047
283	19029	47975
284	19090	47894
285	19154	47818
286	19207	47718
287	19265	47627
288	19325	47544
289	19382	47452
290	19445	47376
291	19500	47282
292	19558	47194
293	19625	47128
294	19680	47033
295	19740	46950
296	19800	46867
297	19855	46774
298	19918	46698
299	19979	46619
300	20043	46545
301	20098	46451
302	20168	46393
303	20231	46318
304	20293	46243
305	20356	46167
306	20423	46103
307	20480	46013
308	20536	45924
309	20594	45839
310	20652	45753
311	20705	45658
312	20768	45584
313	20835	45518
314	20897	45442
315	20958	45365
316	21016	45280
317	21070	45188
318	21134	45118
319	21194	45038
320	21256	44962
321	21317	44885
322	21376	44805
323	21436	44726
324	21509	44673
325	21577	44611
326	21648	44555
327	21711	44481
328	21768	44397
329	21828	44318
330	21881	44224
331	21943	44151
332	22007	44081
333	22068	44004
334	22125	43920
335	22190	43853
336	22246	43766
337	22314	43704
338	22372	43623
339	22427	43534
340	22487	43459
341	22551	43388
342	22614	43317
343	22670	43232
344	22724	43144
345	22791	43079
346	22859	43017
347	22930	42961
348	22990	42885
349	23058	42822
350	23115	42740
351	23172	42658
352	23230	42578
353	23297	42514
354	23354	42432
355	23419	42366
356	23480	42291
357	23537	42210
358	23594	42129
359	23651	42047
360	23716	41980
361	23780	41910
362	23845	41845
363	23901	41761
364	23962	41687
365	24020	41608
366	24089	41549
367	24160	41493
368	24217	41413
369	24285	41351
370	24346	41277
371	24400	41191
372	24458	41113
373	24515	41033
374	24570	40950
375	24632	40879
376	24694	40807
377	24761	40744
378	24826	40679
379	24883	40598
380	24938	40517
381	24992	40432
382	25047	40350
383	25102	40269
384	25159	40189
385	25212	40104
386	25276	40038
387	25336	39964
388	25403	39901
389	25468	39835
390	25529	39763
391	25598	39703
392	25654	39624
393	25713	39549
394	25771	39472
395	25838	39410
396	25892	39328
397	25950	39251
398	26013	39183
399	26069	39104
400	26127	39028
401	26190	38960
402	26251	38888
403	26305	38807
404	26361	38728
405	26416	38648
406	26473	38572
407	26528	38492
408	26584	38414
409	26657	38361
410	26723	38297
411	26782	38223
412	26838	38145
413	26903	38080
414	26967	38014
415	27028	37944
416	27092	37876
417	27150	37802
